,Districts,Count
508,Shahdara,14
509,Jharsuguda,14
510,Jaisalmer,14
511,Lalitpur,14
512,Theni,14
513,Lepa Rada,14
514,Guna,14
515,Kasganj,14
516,Pakke Kessang,14
517,Burhanpur,14
518,Mandsaur,14
519,Shamli,14
520,Mahisagar,13
521,Hapur,13
522,Hathras,13
523,Mahoba,13
524,Subarnapur,13
525,Gurugram,13
526,Hazaribaghh,13
527,Mahrajganj,13
528,Morena,13
529,Rajnandgaon,13
530,Namakkal,13
531,Balangir,13
532,Ramanagara,13
533,Karur,13
534,Durg,13
535,Vijayapura,13
536,Damoh,13
537,Chota Udaipur,13
538,Raisen,13
539,Dohad,13
540,Delhi,12
541,Imphal West,12
542,Nuapada,12
543,Jhansi,12
544,Chandauli,12
545,Sundargarh,12
546,Chhatarpur,12
547,Fatehabad,12
548,Bageshwar,12
549,Debagarh,12
550,Imphal East,12
551,Bankura,12
552,Puruliya,11
553,Muzaffarabad,11
554,Nagapur,11
555,Purba Bardhaman,11
556,Anugul,11
557,Chengalpattu,11
558,West Khasi Hills,11
559,Mirpur,11
560,Bhind,11
561,Dewas,11
562,Rae Bareli,11
563,Rewari,11
564,Kaithal,11
565,Tiruppur,11
566,Ribhoi,11
567,Raebareli,11
568,Champhai,10
569,Jhabua,10
570,Bastar,10
571,Harda,10
572,Barwani,10
573,Kohima,10
574,Kallakurichi,10
575,Ranga Reddy,10
576,Ratlam,10
577,Bengaluru Rural Rural,10
578,Dausa,10
579,Bhadohi,10
580,Dungarpur,10
581,Many parts,9
582,Shivpuri,9
583,Thoubal,9
584,Mandla,9
585,Alirajpur,9
586,Udham Singh Nagar,9
587,Hardwar,9
588,Rajsamand,9
589,Palamu,9
590,Sangareddy,9
591,Satna,9
592,East Garo Hills,9
593,Jhajjar,9
594,Tikamgarh,8
595,Ranipet,8
596,Ashoknagar,8
597,Maldahh,8
598,Shajapur,8
599,Shahdol,8
600,Sivaganga,8
601,Lunglei,8
602,Champawat,8
603,Uttar Dinajpur,8
604,Jhunjhunun,8
605,Charki Dadri,8
606,Kargil,8
607,Chamarajanagara,8
608,Chatra,8
609,Palwal,8
610,Nuh,8
611,Karauli,8
612,Mahendragarh,8
613,Umaria,7
614,Lawngtlai,7
615,Tenkasi,7
616,Tirupathur,7
617,Hanumangarh,7
618,Serchhip,7
619,Mamit,7
620,Dindori,7
621,Chittoorgarh,7
622,Neemuch,7
623,Beed,7
624,Narsimhapur,7
625,Datia,7
626,Kanyakumari,7
627,Vikarabad,7
628,South West Garo Hills,7
629,Warangal Urban Urban,7
630,South Twenty Four Pargan*,7
631,South Salmara Mancachar Tinsukia,7
632,Garhwa,7
633,South Garo Hills,7
634,Tamenglong,7
635,Jayashankar,6
636,North Garo Hills,6
637,East Nimar,6
638,Bishnupur,6
639,Panna,6
640,Katni,6
641,Mangalore,6
642,Khurda,6
643,Angul,6
644,Buldhana,6
645,Narayanpet,6
646,South South Salmara Mancachar,6
647,Surguja,6
648,Manali,6
649,Sheopur,6
650,Bokaro,6
651,Chamarajanagara Chikkaballapura,6
652,Puducherry,6
653,Warangal Urban Rural,6
654,Saiha,6
655,Kothagudem,6
656,Some parts,6
657,Kolasib,6
658,Godda,6
659,Paschim Bardhaman,6
660,Ramgarh,6
